ID,AnnualIncome,EmploymentStatus,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,Experience,ApplicationDate,Monthlyincome,Monthlyloanpyament,Totaldebttoincomeratio
A5197,34239,Self-Employed,120,2,324,5,0,0,14,1139,7604,30078,0,52,634,Associate,12739,Married,Own,5.71,0,Home,28,7379,37682,7,22.61,56.0,30.0,2024-03-24,2853.25,268.62215302430064,20.770074582469135
A5198,20840,Unemployed,108,1,283,5,0,0,20,1050,24614,8501,0,35,387,High School,22584,Single,Mortgage,7.98,0,Auto,29,1501,8092,5,30.93,58.0,13.0,2024-03-25,1736.6666666666667,621.923302325649,52.10690800339629
A5199,88849,Employed,72,1,445,1,0,0,7,330,7010,293802,1,29,603,High School,22607,Married,Mortgage,2.37,2,Debt Consolidation,19,6701,300812,5,23.61,37.0,9.0,2024-03-26,7404.083333333333,589.8298554066594,13.976474991142176
A5200,35846,Employed,24,4,210,4,0,0,8,1115,20463,76616,0,51,606,Doctorate,21151,Single,Mortgage,342.0,1,Auto,23,4006,97079,5,20.6,49.0,29.0,2024-03-27,2987.1666666666665,1082.7068421172512,43.27535040285392
A5201,63437,Employed,96,2,663,1,0,0,24,564,23836,17181,0,36,544,Bachelor,36923,Married,Other,6.14,0,Home,24,5737,41017,6,33.64,56.0,14.0,2024-03-28,5286.416666666667,1113.4113778542937,33.603317518564126
A5202,42811,Employed,96,3,851,3,0,0,3,881,56687,93444,0,33,554,High School,32240,Married,Own,11.5,1,Debt Consolidation,18,5947,150131,4,27.81,53.0,13.0,2024-03-29,3567.5833333333335,840.3277706894463,47.40822042996743
A5203,53610,Self-Employed,48,0,742,5,0,0,13,649,4549,12202,0,41,589,High School,15150,Married,Rent,2.55,1,Education,27,5701,16751,7,20.78,57.0,19.0,2024-03-30,4467.5,467.3394299338599,27.069713037131727
A5204,29269,Employed,60,0,456,4,0,0,21,3050,6345,18000,0,49,557,Associate,18010,Single,Rent,11.6,0,Auto,19,3048,24345,1,25.15,57.0,28.0,2024-03-31,2439.0833333333335,530.2022989592308,40.433317118831425
A5205,49615,Employed,12,4,715,2,1,0,24,12555,2502,65660,0,68,583,High School,26949,Divorced,Own,1.52,1,Other,26,22790,68162,1,24.05,66.0,45.0,2024-04-01,4134.583333333333,2548.9387009964853,78.94238518987771
A5206,26531,Employed,60,1,305,2,1,0,13,3316,112224,3558,0,49,630,High School,45650,Married,Rent,27.6,1,Home,20,2039,93306,5,22.54,63.0,28.0,2024-04-02,2210.9166666666665,1274.8589847664318,71.4571927827718
A5207,55097,Self-Employed,60,3,620,1,0,0,17,901,23792,70609,0,53,588,Bachelor,16623,Married,Mortgage,22.7,1,Debt Consolidation,21,1186,94401,2,21.57,57.0,30.0,2024-04-03,4591.416666666667,455.054364818152,23.41443704342854
A5208,61358,Employed,24,3,336,1,0,0,18,3189,11468,191667,1,33,566,Bachelor,18682,Single,Mortgage,4.14,1,Home,22,1329,203135,6,20.14,39.0,12.0,2024-04-04,5113.166666666667,952.1135818043743,25.192090651019413
A5209,102697,Employed,60,1,1923,2,0,0,6,511,12890,41851,1,27,516,Doctorate,14204,Single,Mortgage,4.08,0,Debt Consolidation,28,1900,54741,8,20.89,43.0,6.0,2024-04-05,8558.083333333334,383.38753262981965,26.949813910394496
A5210,115171,Employed,72,0,574,2,0,0,26,850,52923,3830,1,40,523,High School,27895,Single,Own,16.3,0,Auto,25,3723,34408,5,27.55,43.0,17.0,2024-04-06,9597.583333333334,795.6419967549704,14.270696582524806
A5211,43617,Unemployed,72,1,637,2,0,0,28,342,18832,6046,0,41,547,Master,13375,Single,Other,366.0,2,Debt Consolidation,30,4702,8550,2,26.76,54.0,18.0,2024-04-07,3634.75,374.86277717854495,27.838579742170577
A5212,34953,Employed,36,0,402,5,0,0,13,482,92632,67198,0,27,561,Associate,13261,Married,Rent,24.9,1,Home,26,1957,159830,6,22.37,57.0,5.0,2024-04-08,2912.75,508.98543938193984,31.275785404924548
A5213,102361,Employed,24,0,351,3,0,0,14,1089,28637,46421,1,37,625,Associate,12197,Single,Mortgage,12.5,1,Home,23,1159,75058,5,19.29,42.0,15.0,2024-04-09,8530.083333333334,616.5537932640068,11.342841042162622
A5214,68767,Employed,24,4,307,6,0,0,29,1988,24640,8071,1,44,622,High School,26383,Married,Rent,3.95,3,Other,24,2144,32711,5,17.05,37.0,24.0,2024-04-10,5730.583333333333,1305.0691893378707,28.130978917292378
A5215,129487,Employed,24,1,330,0,0,0,17,1982,109912,4603,1,44,600,Doctorate,26953,Married,Mortgage,16.0,0,Debt Consolidation,21,8437,53199,4,23.04,40.0,19.0,2024-04-11,10790.583333333334,1412.1530314094045,16.145123739767588
A5216,223250,Employed,108,2,688,3,0,1,2,469,109183,146916,0,46,660,Doctorate,67594,Married,Other,15.6,1,Auto,24,3725,256099,7,29.07,49.0,22.0,2024-04-12,18604.166666666668,1770.9741021115253,13.217330000151534
A5217,33601,Employed,48,2,430,1,0,0,17,6517,47704,1902,0,43,633,Master,21981,Married,Own,2.95,3,Home,33,1666,49606,4,16.44,51.0,19.0,2024-04-13,2800.0833333333335,627.91218239375,37.781453494613245
A5218,77685,Employed,36,0,529,6,0,0,8,815,8190,289044,1,33,430,High School,19286,Divorced,Other,46.6,0,Debt Consolidation,29,1440,297234,5,26.36,41.0,14.0,2024-04-14,6473.75,780.7481559378432,20.231676477124438
A5219,46325,Unemployed,60,2,396,2,0,0,18,2520,80386,4568,0,33,619,Master,19174,Married,Mortgage,3.2,1,Debt Consolidation,24,2918,84954,1,24.51,53.0,12.0,2024-04-15,3860.4166666666665,557.2875215941177,24.693902340268565
A5220,115519,Employed,24,2,327,4,0,0,26,3782,23347,9945,1,25,552,Bachelor,43843,Married,Mortgage,11.9,1,Home,29,1892,33292,4,23.1,43.0,3.0,2024-04-16,9626.583333333334,2298.3801198380606,27.27219023542164
A5221,26234,Employed,12,0,1132,3,0,0,23,167,22631,5205,0,61,614,High School,24077,Married,Mortgage,38.5,1,Debt Consolidation,18,4073,11428,6,15.81,49.0,42.0,2024-04-17,2186.1666666666665,2182.3626434791495,151.60612838968436
A5222,66188,Employed,48,0,226,1,0,0,17,783,8921,103283,1,40,610,High School,16772,Single,Mortgage,3.1,1,Debt Consolidation,21,6749,112204,4,19.17,36.0,16.0,2024-04-18,5515.666666666667,502.9905879393308,13.216726680473753
A5223,34413,Unemployed,84,3,390,0,0,0,13,4033,17050,54921,0,37,564,Bachelor,40294,Married,Own,4.52,2,Home,32,11818,71971,6,27.82,53.0,12.0,2024-04-19,2867.75,1093.660822791409,51.736058679850366
A5224,67691,Self-Employed,48,2,558,6,0,0,24,392,171036,3118,1,28,501,Master,8035,Single,Rent,12.2,2,Home,29,4393,10203,4,27.26,41.0,1.0,2024-04-20,5640.916666666667,276.64521871011897,14.796269259608263
A5225,167544,Employed,48,4,548,2,0,0,6,832,16884,192713,1,75,642,Master,27508,Married,Mortgage,1.39,0,Home,28,967,209597,4,20.55,33.0,55.0,2024-04-21,13962.0,845.1604134074855,9.97822957604559
A5226,30165,Employed,36,1,164,2,0,0,29,898,1176,112049,0,27,515,Bachelor,13988,Married,Mortgage,12.9,0,Other,29,1378,113225,5,25.76,48.0,4.0,2024-04-22,2513.75,561.7983998963751,28.87313376017405
A5227,21151,Employed,84,0,380,3,0,0,23,1184,16255,26274,0,34,546,Bachelor,27513,Married,Own,4.55,0,Auto,24,869,42529,7,31.88,53.0,9.0,2024-04-23,1762.5833333333333,821.7572183090692,68.18158299706317
A5228,43806,Unemployed,48,1,267,3,0,0,23,2442,16556,12479,0,44,586,Bachelor,16080,Single,Mortgage,11.8,1,Home,14,1618,29035,6,21.99,57.0,22.0,2024-04-24,3650.5,506.530438124847,21.18971204286665
A5229,47911,Unemployed,120,1,317,3,0,0,14,752,5229,42441,0,47,613,Bachelor,13397,Single,Other,30.5,1,Other,17,979,47670,8,25.6,55.0,26.0,2024-04-25,3992.5833333333335,310.4574590527443,15.715575773064497
A5230,23100,Employed,36,2,2085,5,0,0,16,2292,2753,33899,0,51,591,High School,31194,Single,Own,3.31,1,Education,20,780,36652,7,25.08,60.0,32.0,2024-04-26,1925.0,1241.5882399036407,172.80977869629302
A5231,18405,Employed,120,0,224,4,0,0,5,4009,10851,143840,0,61,643,Bachelor,8419,Single,Mortgage,3.28,0,Home,26,1705,154691,4,25.13,49.0,36.0,2024-04-27,1533.75,192.29847905319846,27.142525121642933
A5232,98056,Employed,48,3,442,7,0,0,21,1397,33008,5114,1,46,534,Associate,20695,Married,Mortgage,7.01,1,Education,25,424,38122,6,21.03,42.0,24.0,2024-04-28,8171.333333333333,641.1690373351859,13.255719637780686
A5233,102757,Employed,120,3,459,3,0,0,22,3126,108440,5674,0,27,597,Associate,14552,Married,Mortgage,21.7,1,Other,20,2819,96096,7,28.23,49.0,6.0,2024-04-29,8563.083333333334,364.73117246679584,9.619562725265967
A5234,27528,Employed,60,0,761,6,0,0,21,108,16661,72177,0,36,564,High School,15342,Married,Own,23.0,0,Home,22,11583,88838,7,24.25,50.0,13.0,2024-04-30,2294.0,443.58721125156836,52.510340507914925
A5235,47685,Employed,48,1,506,3,0,0,20,5161,4694,5062,0,43,632,Bachelor,14286,Married,Rent,4.62,0,Home,14,4595,9756,5,19.35,53.0,20.0,2024-05-01,3973.75,429.79606004708455,23.54944473223239
A5236,71869,Employed,36,1,279,3,1,0,12,3748,6729,209131,0,64,590,High School,22862,Married,Rent,45.6,1,Home,16,14401,215860,9,21.06,63.0,41.0,2024-05-02,5989.083333333333,862.0318432841178,19.051861191069044
A5237,72631,Employed,36,0,934,4,0,0,4,2609,177321,9568,1,23,573,Master,16047,Divorced,Mortgage,5.45,1,Debt Consolidation,18,1797,149131,3,17.88,43.0,1.0,2024-05-03,6052.583333333333,579.1719527297196,25.00043154129316
A5238,181787,Employed,48,1,266,1,0,0,12,1216,12417,170787,1,54,670,Bachelor,9142,Married,Rent,40.8,1,Debt Consolidation,28,2004,183204,5,20.29,31.0,28.0,2024-05-04,15148.916666666666,279.60886182706884,3.60163616866158
A5239,90250,Employed,12,0,342,5,0,0,15,2884,6617,8740,1,42,583,Doctorate,21955,Married,Other,43.5,0,Education,19,11564,15357,3,19.11,43.0,20.0,2024-05-05,7520.833333333333,2024.4504523912733,31.46526917306956
A5240,27316,Employed,36,1,256,3,0,0,9,722,769,194239,0,50,475,High School,13926,Married,Own,2.42,3,Debt Consolidation,22,2452,195008,3,30.15,49.0,24.0,2024-05-06,2276.3333333333335,592.325370053502,37.26718568107345
A5241,86485,Employed,84,0,605,6,1,0,27,6418,4330,237850,0,38,558,Bachelor,32437,Widowed,Mortgage,39.3,3,Auto,17,6487,242180,3,24.11,61.0,14.0,2024-05-07,7207.083333333333,802.6666281114959,19.531710166315488
A5242,38762,Self-Employed,48,2,280,3,0,0,23,1929,25819,153688,0,29,635,Doctorate,27377,Married,Mortgage,1.47,0,Home,20,6921,179507,5,21.66,50.0,6.0,2024-05-08,3230.1666666666665,857.4964653743972,35.214791766402065
A5243,46206,Employed,36,0,707,3,0,0,29,305,7469,18890,0,49,607,High School,34367,Married,Rent,1.71,1,Home,20,3074,26359,3,24.0,47.0,27.0,2024-05-09,3850.5,1348.3154452285285,53.37788456638173
A5244,81349,Employed,108,0,392,4,0,0,7,1890,34563,31809,0,47,609,High School,22364,Married,Own,4.34,0,Auto,25,1024,66372,1,27.81,54.0,23.0,2024-05-10,6779.083333333333,565.9492171614714,14.130955028258072
A5245,32645,Unemployed,48,0,946,5,0,0,6,848,3624,8505,0,51,484,Bachelor,38820,Divorced,Rent,6.65,1,Auto,18,1377,12129,5,30.2,62.0,28.0,2024-05-11,2720.4166666666665,1402.271941771004,86.32030418518012
A5246,39481,Employed,72,1,513,5,0,0,23,5076,42721,21718,0,39,496,Associate,48882,Single,Mortgage,32.7,2,Debt Consolidation,23,3264,64439,3,31.32,55.0,18.0,2024-05-12,3290.0833333333335,1512.420342719346,61.56136904493845
A5247,19000,Employed,72,5,332,3,0,0,27,754,9664,2782,0,32,609,High School,30351,Widowed,Mortgage,29.6,2,Other,25,835,12446,5,19.26,49.0,11.0,2024-05-13,1583.3333333333333,714.0322858721873,66.06519700245396
A5248,46145,Self-Employed,60,5,154,4,0,0,11,1173,24680,42349,0,21,497,Doctorate,34935,Single,Rent,5.64,0,Education,16,65856,67029,2,29.94,55.0,0.0,2024-05-14,3845.4166666666665,1128.9787227547433,33.36384152791618
A5249,32699,Employed,60,1,282,6,0,0,19,1464,22204,105071,0,49,612,Bachelor,45836,Single,Rent,44.4,2,Auto,26,8431,127275,4,24.19,47.0,28.0,2024-05-15,2724.9166666666665,1323.6682737589656,58.92540837673198
A5250,136244,Employed,24,2,250,7,0,0,6,486,47068,79563,1,45,619,Associate,28292,Married,Own,1.31,0,Home,24,2710,126631,4,18.9,35.0,23.0,2024-05-16,11353.666666666666,1424.7864045259882,14.75106195818668
A5251,39412,Employed,24,1,541,2,0,0,1,4865,3470,43034,0,28,471,High School,25015,Single,Mortgage,5.18,1,Debt Consolidation,12,2195,46504,5,24.5,62.0,3.0,2024-05-17,3284.3333333333335,1328.821322327817,56.93153320799199
A5252,219833,Employed,24,1,499,3,0,1,1,295,13145,20795,1,33,496,High School,14884,Married,Mortgage,3.09,1,Auto,20,2681,33940,2,24.23,51.0,10.0,2024-05-18,18319.416666666668,788.6430554320444,7.028843105987059
A5253,63872,Employed,60,2,168,4,0,0,24,1691,42803,2813,0,34,602,High School,19133,Married,Mortgage,4.54,0,Home,19,3257,18169,5,23.21,50.0,13.0,2024-05-19,5322.666666666667,541.6792425356005,13.333152101746
A5254,79793,Employed,36,0,196,1,0,1,19,2583,11678,27593,0,22,576,Associate,43194,Married,Mortgage,10.2,2,Debt Consolidation,19,833,39271,3,22.16,55.0,0.0,2024-05-20,6649.416666666667,1653.1758715398623,27.809595401198536
A5255,16871,Employed,84,0,195,2,0,0,13,4447,60594,98128,0,30,523,Associate,9797,Married,Mortgage,12.6,0,Debt Consolidation,30,3071,158722,4,32.2,49.0,6.0,2024-05-21,1405.9166666666667,294.7631061502591,34.83585604767417
A5256,32959,Employed,48,1,296,2,0,1,12,1880,15106,61275,0,26,509,High School,29136,Single,Mortgage,29.0,0,Home,27,1909,76381,7,25.29,55.0,1.0,2024-05-22,2746.5833333333335,970.7846837406144,46.12220093111858
A5257,33319,Employed,48,0,242,2,0,0,27,426,49851,5173,0,35,607,Master,25882,Divorced,Own,21.6,0,Auto,24,4518,19311,4,19.8,54.0,17.0,2024-05-23,2776.5833333333335,784.843315315222,36.98226172388926
A5258,38968,Employed,60,4,610,2,0,1,10,299,277300,7248,0,31,545,Bachelor,14392,Married,Mortgage,5.11,0,Home,24,4754,128450,4,26.49,62.0,8.0,2024-05-24,3247.3333333333335,435.08801763606664,32.182960920839655
A5259,25577,Self-Employed,60,1,1118,4,0,0,9,472,1692,233260,0,20,590,High School,87782,Married,Mortgage,26.7,1,Auto,17,3695,234952,3,30.62,58.0,0.0,2024-05-25,2131.4166666666665,2873.566302058312,187.27292342612404
A5260,58156,Employed,84,2,321,4,0,1,2,595,14573,311370,0,64,674,Bachelor,29291,Single,Own,15.2,3,Auto,22,3186,325943,5,23.6,47.0,38.0,2024-05-26,4846.333333333333,715.3884576245524,21.38500153293663
A5261,87278,Employed,48,1,582,1,0,0,15,514,37305,6204,0,55,632,High School,44498,Married,Rent,11.4,1,Debt Consolidation,16,1759,20153,5,22.78,53.0,35.0,2024-05-27,7273.166666666667,1420.8681763935126,27.537773684917333
A5262,38000,Self-Employed,36,3,615,5,0,0,18,2506,61596,6460,0,30,601,Bachelor,24824,Married,Mortgage,3.79,1,Education,21,12910,57350,3,19.19,53.0,5.0,2024-05-28,3166.6666666666665,912.3354835789147,48.23164684986047
A5263,87897,Employed,72,5,281,2,1,0,16,5162,78361,4093,0,43,560,Bachelor,53602,Married,Rent,5.94,1,Home,30,6876,62393,4,27.52,70.0,17.0,2024-05-29,7324.75,1527.8635646183084,24.695225975197904
A5264,27814,Unemployed,60,3,477,6,1,0,27,183,30057,13468,0,45,594,Doctorate,14400,Single,Rent,24.6,1,Education,22,1704,43525,5,18.61,67.0,27.0,2024-05-30,2317.8333333333335,370.46060378020206,36.56262042626887
A5265,72239,Employed,108,1,414,1,0,0,24,736,16142,48677,1,54,652,Associate,17585,Married,Mortgage,26.1,1,Debt Consolidation,23,2510,64819,4,21.92,38.0,31.0,2024-05-31,6019.916666666667,374.19167653213947,13.093066236223748
A5266,32710,Employed,12,0,366,3,0,0,1,2158,56859,1503,0,30,594,High School,19954,Married,Other,25.1,1,Auto,26,3169,12398,4,17.4,55.0,6.0,2024-06-01,2725.8333333333335,1823.6895830927278,80.33101497130153
A5267,115846,Self-Employed,36,0,233,0,0,0,25,567,57035,3342,1,53,642,High School,10881,Single,Own,22.7,2,Education,23,8461,31370,2,16.88,44.0,31.0,2024-06-02,9653.833333333334,387.2878035681392,6.425300522087659
A5268,68242,Unemployed,96,2,364,1,1,0,1,2010,109875,9381,0,33,581,High School,17253,Married,Mortgage,3.78,0,Home,28,7685,73352,4,25.03,69.0,11.0,2024-06-03,5686.833333333333,417.3943588702558,13.740412512005905
A5269,20521,Employed,48,1,489,2,0,0,7,1874,6354,6129,0,23,601,Master,14875,Single,Own,304.0,2,Home,30,4886,6760,8,18.31,54.0,0.0,2024-06-04,1710.0833333333333,439.3663858037014,54.28778631472354
A5270,117762,Employed,60,3,1118,6,0,1,16,375,103391,6022,0,48,579,Bachelor,25194,Single,Rent,13.4,0,Education,21,2892,74221,7,25.83,58.0,27.0,2024-06-05,9813.5,751.7866760234471,19.053209110138553
A5271,65890,Employed,60,0,370,2,0,0,25,651,14243,81760,1,55,638,Doctorate,7893,Married,Own,580.0,2,Home,27,9346,96003,3,19.9,43.0,33.0,2024-06-06,5490.833333333333,208.6772880389389,10.538970187383926
A5272,203884,Unemployed,36,2,713,3,0,0,24,1153,35957,36866,1,71,620,Associate,29894,Single,Mortgage,16.4,1,Debt Consolidation,22,1120,72823,7,20.46,37.0,47.0,2024-06-07,16990.333333333332,1117.9871767170825,10.77664069794834
A5273,52656,Employed,48,0,601,1,0,0,9,2700,49478,6046,0,25,568,Master,37005,Married,Own,21.7,2,Other,27,2737,17176,5,21.05,55.0,0.0,2024-06-08,4388.0,1146.8809590401754,39.83320325980345
A5274,85684,Employed,48,1,313,2,0,0,18,593,13993,31483,1,48,475,High School,9400,Married,Mortgage,33.3,2,Debt Consolidation,25,376,45476,4,24.93,40.0,24.0,2024-06-09,7140.333333333333,311.3101229867981,8.743431067459008
A5275,52588,Employed,24,0,531,5,0,0,29,581,62743,206195,1,35,546,Master,20969,Married,Own,13.7,3,Other,32,3704,268938,2,18.58,37.0,12.0,2024-06-10,4382.333333333333,1052.7443496846581,36.13929450866338
A5276,54847,Employed,48,1,284,4,0,0,10,1185,7074,16531,0,49,571,High School,19681,Widowed,Own,3.25,1,Auto,18,1915,23605,6,24.47,54.0,28.0,2024-06-11,4570.583333333333,646.7611907737213,20.364166297672902
A5277,43577,Employed,12,1,442,3,1,0,27,483,4126,11656,0,22,523,Bachelor,48078,Married,Rent,37.3,3,Auto,25,1324,15782,4,26.81,63.0,2.0,2024-06-12,3631.4166666666665,4611.868672335948,139.170718654408
A5278,42528,Employed,48,0,363,2,0,0,19,649,27309,66497,0,24,595,Associate,32793,Divorced,Mortgage,13.0,0,Auto,13,2594,93806,5,24.02,50.0,0.0,2024-06-13,3544.0,1069.4746080267423,40.41971241610447
A5279,55941,Employed,60,3,525,0,0,1,15,551,4838,449222,0,30,498,High School,24012,Divorced,Mortgage,4.48,2,Other,29,1321,454060,8,28.62,51.0,8.0,2024-06-14,4661.75,756.6402549573086,27.49268525676642
A5280,62723,Employed,24,0,739,3,0,0,26,4506,88588,23328,1,40,636,Bachelor,21918,Single,Rent,11.9,1,Auto,26,5882,111916,8,16.49,41.0,15.0,2024-06-15,5226.916666666667,1078.312118540535,34.76833924156437
A5281,78999,Employed,36,1,202,3,0,0,1,3289,12393,191276,1,32,610,Master,36609,Married,Rent,8.03,1,Other,23,1396,203669,7,19.46,40.0,10.0,2024-06-16,6583.25,1350.4698051808734,23.582118333359258
A5282,63876,Employed,48,3,269,3,0,0,12,718,5685,90617,0,47,526,Bachelor,31599,Married,Own,3.1,0,Auto,28,3538,96302,2,24.03,54.0,26.0,2024-06-17,5323.0,1030.709542876056,24.416861598272703
A5283,61916,Employed,12,0,147,1,0,0,1,902,30780,55856,0,52,526,Associate,26643,Single,Mortgage,23.3,0,Debt Consolidation,24,6466,86636,4,21.82,51.0,29.0,2024-06-18,5159.666666666667,2491.327567706013,51.13368242856798
A5284,21665,Self-Employed,24,0,497,1,0,0,4,1959,8555,332539,0,47,515,Associate,47644,Single,Mortgage,18.2,1,Other,21,5858,341094,10,24.44,53.0,25.0,2024-06-19,1805.4166666666667,2529.465680716169,167.6325325113964
A5285,104293,Employed,60,2,548,2,0,0,20,3603,9405,28724,0,59,518,High School,23012,Married,Other,4.01,3,Debt Consolidation,19,4060,38129,7,27.64,56.0,39.0,2024-06-20,8691.083333333334,711.508002563175,14.491956344872715
A5286,34330,Employed,60,0,402,1,0,0,28,147,37576,9665,0,44,625,Master,41989,Married,Mortgage,2.0,0,Home,29,5439,12623,5,22.06,54.0,18.0,2024-06-21,2860.8333333333335,1161.1233658236342,54.63874276109411
A5287,15000,Employed,36,3,712,4,0,0,1,1316,21567,33667,0,25,457,High School,29727,Divorced,Other,2.83,0,Debt Consolidation,27,1443,55234,10,30.45,58.0,4.0,2024-06-22,1250.0,1269.296102667933,158.50368821343463
A5288,204649,Employed,60,1,684,1,0,1,23,1028,5607,17190,1,56,631,Master,15984,Divorced,Other,14.2,2,Auto,28,6666,22797,5,20.07,46.0,32.0,2024-06-23,17054.083333333332,424.1010398886471,6.497570219577798
A5289,119823,Employed,72,2,698,4,0,0,21,2996,25962,117522,1,32,536,Bachelor,14421,Married,Rent,2.54,1,Auto,22,6456,143484,1,26.13,36.0,8.0,2024-06-24,9985.25,398.5199476330757,10.981397036960272
A5290,62741,Unemployed,36,3,748,2,0,0,8,215,53007,128400,0,50,589,Bachelor,18844,Married,Mortgage,4.12,3,Other,21,4215,181407,9,19.11,53.0,30.0,2024-06-25,5228.416666666667,691.7945117835985,27.537868604904574
A5291,122026,Employed,72,2,445,4,0,0,16,1235,42614,6475,1,58,607,Master,23103,Married,Other,35.7,1,Debt Consolidation,27,447,42117,4,25.47,37.0,38.0,2024-06-26,10168.833333333334,629.009108437136,10.561773147727234
A5292,43309,Employed,108,1,348,3,0,0,11,169,37764,9069,0,45,534,Bachelor,15000,Married,Own,39.0,1,Auto,23,1418,32554,4,29.73,53.0,23.0,2024-06-27,3609.0833333333335,400.08761035929376,20.72791180657952
A5293,22442,Employed,60,1,488,2,0,1,25,770,27668,10599,0,22,517,Associate,22979,Married,Other,16.4,0,Auto,19,851,38267,5,28.13,63.0,1.0,2024-06-28,1870.1666666666667,717.2732747545215,64.4473723244553
A5294,28667,Self-Employed,96,0,277,2,0,0,25,2222,28438,101998,0,28,522,Associate,8958,Divorced,Mortgage,3.19,2,Auto,27,2606,130436,8,27.06,51.0,2.0,2024-06-29,2388.9166666666665,228.91567206799195,21.17761909099628
A5295,31047,Employed,60,0,370,3,1,0,14,1201,55871,7646,0,55,534,High School,10361,Married,Own,22.7,2,Auto,22,8963,44017,3,24.09,70.0,33.0,2024-06-30,2587.25,298.60639287757374,25.842357440431876
A5296,30114,Employed,48,0,214,6,0,0,9,961,16905,10234,0,37,448,Associate,42369,Married,Other,41.0,1,Auto,29,2865,17614,3,34.18,55.0,13.0,2024-07-01,2509.5,1630.2424769904737,73.49043542500394
A5297,32646,Employed,72,1,317,5,0,0,22,1598,55086,10826,0,40,535,High School,19422,Married,Other,12.0,0,Debt Consolidation,35,842,13292,6,25.53,51.0,16.0,2024-07-02,2720.5,529.507953857756,31.11589611680779
A5298,15000,Employed,48,0,374,9,0,0,27,1388,87347,3323,0,49,630,Bachelor,16857,Married,Mortgage,12.8,1,Home,26,4183,40805,8,21.45,50.0,26.0,2024-07-03,1250.0,526.0773795503598,72.00619036402878
A5299,33411,Employed,60,3,256,1,0,0,29,1614,22951,56787,0,48,599,High School,40328,Married,Mortgage,2.0,0,Home,22,2899,79738,7,26.18,51.0,25.0,2024-07-04,2784.25,1211.7404326954788,52.71582769849974
A5300,32316,Employed,60,1,211,1,0,0,19,533,78177,8699,0,43,629,Master,20905,Single,Rent,11.1,0,Debt Consolidation,30,2416,59293,6,23.53,55.0,18.0,2024-07-05,2693.0,595.704878790809,29.955621195351245
A5301,71664,Self-Employed,36,1,232,3,0,0,18,499,15505,73741,0,37,639,Bachelor,49205,Single,Rent,3.97,2,Home,22,3616,89246,5,24.38,48.0,16.0,2024-07-06,5972.0,1940.2835903426155,36.37447405128292
A5302,50384,Employed,36,3,431,7,0,1,24,861,9995,73089,0,36,590,Master,10126,Married,Own,6.67,1,Debt Consolidation,26,2278,83084,8,23.34,58.0,10.0,2024-07-07,4198.666666666667,393.7713186789943,19.64364842836601
A5303,75775,Employed,36,3,268,4,0,0,20,362,85719,9512,0,50,604,High School,42095,Married,Mortgage,12.9,0,Auto,33,3867,12695,4,23.9,51.0,30.0,2024-07-08,6314.583333333333,1649.2975173403622,30.363009182559352
A5304,46983,Employed,96,1,102,3,0,0,13,1473,8297,87317,0,46,555,Bachelor,36339,Divorced,Mortgage,3.5,1,Auto,24,1550,95614,2,24.81,51.0,22.0,2024-07-09,3915.25,873.8358934320735,24.923974035682868
A5305,24220,Employed,36,1,488,2,0,0,9,3308,3583,32907,0,36,600,Master,40968,Married,Mortgage,8.3,0,Education,20,1125,36490,6,20.89,49.0,16.0,2024-07-10,2018.3333333333333,1541.1593274548886,100.53638286316541
A5306,20167,Employed,12,0,357,4,0,0,5,4124,9632,643858,0,52,578,High School,16448,Single,Rent,4.62,0,Debt Consolidation,30,653,653490,5,19.72,51.0,30.0,2024-07-11,1680.5833333333333,1521.4490622593003,111.77363389255518
A5307,27818,Employed,48,0,479,9,1,0,6,2136,25068,34801,0,38,634,Doctorate,26465,Single,Rent,4.81,3,Debt Consolidation,24,1150,59869,6,19.5,66.0,15.0,2024-07-12,2318.1666666666665,798.3061886017817,55.0998427752584
A5308,27429,Self-Employed,96,2,396,6,0,0,1,1585,25779,13828,0,29,579,Associate,18485,Single,Mortgage,10.9,1,Home,27,2085,39607,5,29.19,60.0,7.0,2024-07-13,2285.75,499.35022425489495,39.170960264897516
A5309,26853,Employed,36,1,194,5,0,0,9,769,11802,10616,0,30,563,High School,43713,Single,Rent,3.66,3,Debt Consolidation,18,6003,9331,4,27.61,55.0,8.0,2024-07-14,2237.75,1798.9287124269074,89.05948888065724
A5310,68099,Employed,36,1,884,2,0,0,9,247,10127,93883,1,28,504,Associate,13656,Married,Rent,3.83,2,Other,28,7014,104010,5,23.21,39.0,8.0,2024-07-15,5674.916666666667,530.115805567993,24.918706099672413
A5311,45842,Employed,48,2,797,6,0,0,20,229,42065,1253,0,36,544,High School,19331,Married,Mortgage,23.2,3,Auto,28,1367,21958,9,23.72,51.0,15.0,2024-07-16,3820.1666666666665,627.2374999141388,37.28207756853904
